Phototube Current (pA),,,,,,,,,,,Analysis,
Voltage (V),measurement 1,measurement 2,measurement 3,measurement 4,measurement 5,measurement 6,measurement 7,measurement 8,measurement 9,measurement 10,Mean,Standard Deviation
0.35,1300,1233,1236,1248,1290,1238,1231,1221,1224,1227,1244.8,27.62768338
0.4,1036,1025,1044,1036,1043,1055,1047,1048,1048,1022,1040.4,10.5746027
0.45,808,810,790,807,811,810,809,808,813,813,807.9,6.607235092
0.5,659,664,667,661,663,662,640,625,798,675,671.4,46.7551542
0.55,609,676,689,680,675,569,585,584,592,589,624.8,48.6250964
0.6,425,450,497,394,339,457,432,468,477,466,440.5,46.0319937
0.65,336,364,380,366,369,371,361,361,366,379,365.3,12.2388271
0.7,241,296,274,212,211,294,248,268,227,235,250.6,31.18475411
0.75,223,204,205,197,200,227,210,196,203,211,207.6,10.41579996
0.8,172,144,179,139,143,141,135,144,146,148,149.1,14.47181168
0.85,53,85,69,73,67,73,75,67,74,87,72.3,9.592242236
0.9,19,20,4,37,14,16,13,16,8,3,15,9.695359715
0.95,-40,-39,-35,-38,-34,-36,-35,-28,-74,-26,-38.5,13.25183425